id_cliente,nome,cpf,email,telefone,cidade,uf,canal_origem,data_cadastro,limite_credito,total_comprado,ativo,obs_sistema
1142,Heitor Rodrigues,,,,Santa Maria,RS,Site,2024-08-13,,27286.92,Nao,
90010,Bruno Pereira,56956805825,bruno.pereira@empresa.com.br,51951821563,Passo Fundo,RS,loja,2023-09-03,6257.25,40835.82,Sim,
90023,Marina Souza,68385402550,marina.souza@gmail.com,(51) 99396-0171,porto alegre,RS,Indicacao,2025-06-24,14070.09,66711.16,Nao,
1318,VINICIUS SILVA,97452896515,vinicius.silva@empresa.com.br,93462-0136,Santa Maria,RS,Whatsapp,2025-08-14,6224.16,2277.16,Sim,
1431,Elisa Almeida,02927820010,elisa.almeida@empresa.com.br,55965297336,Passo Fundo,RS,loja,2025-11-23,7943.92,30352.84,Sim,
1239,Marina Almeida,20824861766,marina.almeida@outlook.com,(54) 92853-5055,porto alegre,RS,Site,2025-08-03,8234.68,60267.85,Nao,
1252,Nelson Santos,83581019353,nelson.santos@outlook.com,11992213710,porto alegre,RS,Telefone,2021-04-19,13389.04,67435.96,Nao,
1570,Karina Rocha,98821077860,karina.rocha@outlook.com,11 960931020 ramal 22,Santa Maria,RS,Telefone,2022-12-10,14283.49,,Sim,
1429,Marina Souza,24440465135,marina.souza@empresa.com.br,(51) 98533-7003,Passo Fundo,RS,loja,2022-12-22,,64796.46,Nao,
1192,Tatiana Pereira,90986573689,,93570-4427,Ijui,RS,Indicacao,2025-06-15,3165.31,88910.1,Sim,
90032,Karina Martins,94964234664,karina.martins@hotmail.com,98430-4381,Ijui,RS,loja,2024-12-03,6955.24,86018.92,Nao,
1070,Tatiana Souza,37249795836,tatiana.souza@hotmail.com,(51) 98184-6092,Passo Fundo,RS,loja,2023-04-02,3857.69,80218.86,Nao,
1463,Vinicius Costa,,vinicius.costa@empresa.com.br,96707-3896,porto alegre,RS,loja,2023-07-01,2516.09,82471.72,Nao,
1540,GABRIELA COSTA,06819426685,,(11) 92724-6664,Santo Angelo,RS,Telefone,2025-07-26,3251.95,41336.51,Nao,
1395,Vinicius Rocha,72112973405,vinicius.rocha@hotmail.com,11994053691,Santo Angelo,RS,Whatsapp,2023-11-12,2846.27,5359.02,Nao,
1109,LUCAS ROCHA,73957614565,lucas.rocha@empresa.com.br,(54) 99786-2502,Sta. Maria,RS,loja,2024-05-23,5759.75,47640.9,Nao,
1281,PAULO SOUZA,46737716834,paulo.souza@gmail.com,11974744903,STO ANGELO,RS,Indicacao,2024-03-21,1559.96,86592.09,Nao,
1285,Fabio Souza,,,55 900402428 ramal 22,porto alegre,RS,loja,2023-09-08,,,Nao,
1305,Gabriela Souza,18356138573,gabriela.souza@hotmail.com,54 943006936 ramal 22,Sta. Maria,RS,Whatsapp,2022-06-22,3587.69,77789.94,Sim,
1304,Isabel Martins,03893448282,,55961459226,STO ANGELO,RS,Telefone,2021-07-28,697.57,14270.76,Nao,
1484,Joao Souza,01900184790,,51 977224563 ramal 22,Ijui,RS,loja,2023-03-29,7365.58,75561.56,Sim,
1355,ANA COSTA,31804155379,ana.costa@outlook.com,(55) 90170-9817,Santa Maria,RS,loja,2025-05-13,14078.85,22360.32,Sim,
90006,Paulo Pereira,50849922134,paulo.pereira@empresa.com.br,92039-9089,porto alegre,RS,Site,2024-08-26,9009.82,69015.83,Nao,
1154,Marina Almeida,14826500069,marina.almeida@empresa.com.br,,,RS,Indicacao,2025-07-17,2309.48,51039.79,Nao,
1271,TATIANA MARTINS,05287644669,tatiana.martins@hotmail.com,98126-0469,Passo Fundo,RS,Indicacao,2023-10-12,5100.25,61922.44,Sim,
1385,Ana Rodrigues,96614885306,,(51) 97772-2002,porto alegre,RS,Indicacao,2021-07-15,2037.64,69261.89,Sim,
1327,Vinicius Oliveira,59200628015,,(54) 91177-1763,Santo Angelo,RS,Site,2022-06-09,14321.91,26380.9,Nao,migrado 2019
1013,SERGIO PEREIRA,35205617483,sergio.pereira@gmail.com,51926906044,Santa Maria,RS,Telefone,2025-09-22,11868.6,68788.02,Nao,
1377,Renata Oliveira,63150461638,renata.oliveira@empresa.com.br,51962678020,Santa Maria,RS,Whatsapp,2021-06-01,12841.2,61982.18,Sim,
1498,Heitor Silva,70840450384,heitor.silva@gmail.com,(54) 95183-2507,Ijui,RS,Indicacao,2022-08-23,941.39,65037.73,Nao,
1213,Lucas Santos,73284857469,lucas.santos@hotmail.com,51988902752,,RS,Site,2025-06-25,1839.57,,Sim,
1292,VINICIUS SILVA,34762692457,vinicius.silva@hotmail.com,98202-5903,Sta. Maria,RS,Whatsapp,2025-11-08,10721.73,23914.52,Nao,
1270,Ana Oliveira,,ana.oliveira@gmail.com,(55) 98326-1215,Sta. Maria,RS,loja,2025-10-25,11847.26,48529.97,Nao,
1272,FABIO SOUZA,95582491678,fabio.souza@empresa.com.br,51937907279,Ijui,RS,loja,2025-02-26,10537.07,4901.14,Sim,
1289,ISABEL ALMEIDA,10515655127,isabel.almeida@outlook.com,,Sta. Maria,RS,Whatsapp,2022-10-22,10859.77,13683.73,Sim,
1003,Marina Rodrigues,84656321223,marina.rodrigues@gmail.com,54944026859,Passo Fundo,RS,Whatsapp,2025-02-24,11809.56,71808.58,Sim,
1262,Ana Rodrigues,60197509211,ana.rodrigues@gmail.com,(51) 93885-4097,P. Alegre,RS,Indicacao,2024-11-04,1308.66,74343.93,Nao,
90029,Sergio Pereira,85260803310,,90566-1390,porto alegre,RS,Telefone,2024-01-25,13612.34,61467.62,Sim,
90012,Marina Costa,55678900866,marina.costa@gmail.com,11960254981,P. Alegre,RS,Site,2025-06-27,668.65,21226.68,Sim,
1229,CARLA SANTOS,03498055173,,(54) 90929-0012,Ijui,RS,loja,2025-04-28,5376.45,88328.75,Sim,
1590,NELSON FERREIRA,59644375706,nelson.ferreira@empresa.com.br,(11) 94321-7729,STO ANGELO,RS,Whatsapp,2022-12-10,3703.52,7570.77,Sim,
1417,Marina Souza,56703004043,,51942039786,Santa Maria,RS,Indicacao,2025-04-18,4303.54,16890.3,Sim,
1052,Renata Pereira,33312459956,renata.pereira@hotmail.com,(11) 95157-1259,Ijui,RS,loja,2023-01-30,14860.87,43768.4,Sim,
1017,KARINA SILVA,61304451669,karina.silva@empresa.com.br,51941042346,Passo Fundo,RS,Whatsapp,2021-09-16,12273.45,82208.15,Nao,
1468,Isabel Pereira,08792232530,isabel.pereira@hotmail.com,,Sta. Maria,RS,Whatsapp,2025-08-06,,33447.08,Nao,
1050,Karina Pereira,72215267674,karina.pereira@outlook.com,,Santo Angelo,RS,Whatsapp,2021-11-02,9225.84,72673.33,Sim,
1376,ANA OLIVEIRA,70521404770,ana.oliveira@empresa.com.br,11910083233,Sta. Maria,RS,Indicacao,2024-10-30,1418.86,87404.21,Sim,
1397,Paulo Barbosa,56882370207,paulo.barbosa@outlook.com,(51) 96017-3238,Santo Angelo,RS,Telefone,2023-08-28,12801.03,38499.47,Sim,
1277,HEITOR SILVA,49357914304,heitor.silva@gmail.com,(11) 97667-3564,Ijui,RS,Whatsapp,2022-06-20,,7178.8,Sim,
1222,Fabio Ferreira,96434691634,fabio.ferreira@gmail.com,,Passo Fundo,RS,Site,2025-04-08,6165.42,62489.97,Nao,
1278,Elisa Almeida,41887205942,elisa.almeida@gmail.com,55995363091,Ijui,RS,loja,2021-07-02,6583.87,31711.83,Sim,
1420,Diego Ferreira,42278334726,diego.ferreira@hotmail.com,99146-3935,Santo Angelo,RS,Site,2022-12-09,4515.67,26051.11,Sim,
1232,TATIANA SANTOS,04977867085,tatiana.santos@empresa.com.br,11960553190,P. Alegre,RS,Site,2024-09-13,1765.64,63065.7,Sim,
1437,Marina Pereira,98571577110,marina.pereira@empresa.com.br,(51) 94932-9012,Passo Fundo,RS,Site,2021-06-13,7770.92,33595.89,Nao,
1057,Elisa Oliveira,23911974232,elisa.oliveira@hotmail.com,(54) 90186-0855,Santo Angelo,RS,loja,2021-08-07,11563.22,59893.4,Nao,
1179,Diego Rodrigues,54414360636,,(11) 90136-4309,Sta. Maria,RS,Site,2025-02-11,3587.51,51650.93,Nao,
1030,BRUNO RODRIGUES,16978464936,,92009-7737,P. Alegre,RS,Whatsapp,2022-03-05,1473.25,32879.91,Sim,
1110,ISABEL FERREIRA,,isabel.ferreira@hotmail.com,96656-6755,porto alegre,RS,Telefone,2025-09-08,4686.77,61371.51,Nao,
1536,Paulo Souza,93931990822,paulo.souza@gmail.com,51948932777,porto alegre,RS,Whatsapp,2023-05-12,3136.4,35412.01,Sim,
1055,Heitor Santos,71601755371,heitor.santos@hotmail.com,51927827246,Santo Angelo,RS,Site,2023-10-29,4799.99,23460.49,Nao,
1396,Ana Silva,90065862110,ana.silva@hotmail.com,,Ijui,RS,Indicacao,2024-07-03,14555.77,54905.29,Nao,
1562,Paulo Souza,64118607787,paulo.souza@outlook.com,(55) 91817-8863,Passo Fundo,RS,Telefone,2021-11-15,,80271.53,Nao,
1572,Diego Ferreira,54600068019,diego.ferreira@outlook.com,(54) 99905-8768,,RS,Whatsapp,2025-09-15,8412.61,23903.0,Sim,
1491,FABIO SOUZA,,fabio.souza@outlook.com,99508-0379,porto alegre,RS,Site,2024-01-17,10366.07,73418.57,Sim,
1022,Renata Santos,43373441979,renata.santos@hotmail.com,,Santa Maria,RS,Whatsapp,2023-02-20,10824.5,10188.5,Sim,
1394,Tatiana Souza,43860554024,tatiana.souza@outlook.com,,Santa Maria,RS,loja,2025-01-09,14191.47,56868.8,Sim,
1519,Paulo Costa,66502385535,paulo.costa@empresa.com.br,51906783684,Passo Fundo,RS,Whatsapp,2024-05-17,7751.89,80582.17,Sim,
1459,Joao Oliveira,32921080851,,,Passo Fundo,RS,Site,2021-07-07,10062.82,51082.26,Nao,
1471,KARINA RODRIGUES,03922707331,karina.rodrigues@empresa.com.br,(11) 93269-9360,Passo Fundo,RS,Whatsapp,2024-08-14,4504.19,20638.22,Sim,
1051,Karina Costa,90429248758,karina.costa@empresa.com.br,54934906734,Passo Fundo,RS,Whatsapp,2023-07-20,8274.2,5636.81,Sim,
1046,Carla Oliveira,09051877203,carla.oliveira@hotmail.com,55957883465,Passo Fundo,RS,Site,2022-05-09,12502.14,45337.43,Nao,
1580,Lucas Rodrigues,67447420118,lucas.rodrigues@outlook.com,11973673147,P. Alegre,RS,loja,2023-05-18,7088.5,48504.51,Sim,
90003,Paulo Barbosa,00909808704,paulo.barbosa@outlook.com,55938645073,porto alegre,RS,Whatsapp,2024-01-10,6111.76,71867.27,Sim,
1344,Olivia Rodrigues,68620769863,,93953-4112,Santa Maria,RS,Site,2024-08-27,12579.46,53178.44,Sim,
1321,Renata Souza,49285310646,renata.souza@hotmail.com,93037-9191,Ijui,RS,Site,2021-10-05,4457.4,57668.61,Sim,
1532,Elisa Pereira,60090271621,elisa.pereira@gmail.com,11987951216,Ijui,RS,Indicacao,2022-10-27,4624.42,67603.66,Nao,
1191,Lucas Ferreira,72275296813,lucas.ferreira@outlook.com,(54) 91856-3950,Sta. Maria,RS,Site,2024-06-03,8804.3,18759.57,Nao,
1058,Bruno Oliveira,58781153569,bruno.oliveira@gmail.com,(51) 97780-8820,Passo Fundo,RS,Indicacao,2022-09-11,1988.79,73543.83,Nao,
1146,Sergio Rodrigues,63076612924,sergio.rodrigues@gmail.com,(51) 90521-7212,porto alegre,RS,Whatsapp,2021-08-02,12926.5,36811.5,Nao,
1408,Nelson Pereira,51410808093,,55903870994,Santo Angelo,RS,Whatsapp,2021-10-22,6387.43,36710.66,Nao,
1473,Gabriela Oliveira,64009774080,gabriela.oliveira@gmail.com,55916463330,Ijui,RS,Telefone,2023-04-21,1000.68,71841.3,Sim,
1097,RENATA ALMEIDA,36684432038,renata.almeida@empresa.com.br,54955378050,P. Alegre,RS,loja,2024-03-13,,63950.05,Nao,
90033,GABRIELA ALMEIDA,20756279411,gabriela.almeida@empresa.com.br,(54) 96159-9379,Passo Fundo,RS,Indicacao,2021-06-08,14794.98,76425.28,Nao,
1574,Carla Souza,,carla.souza@outlook.com,(11) 96574-6585,Passo Fundo,RS,Indicacao,2024-02-10,5391.55,,Nao,
1418,GABRIELA SANTOS,75835342716,gabriela.santos@empresa.com.br,(51) 96311-7512,Passo Fundo,RS,Whatsapp,2023-05-02,6486.72,29581.51,Sim,
1023,Karina Souza,04655721014,karina.souza@empresa.com.br,,Santa Maria,RS,Indicacao,2022-04-05,,80729.4,Sim,
1360,HEITOR MARTINS,70358827000,heitor.martins@hotmail.com,,Ijui,RS,Indicacao,2021-09-06,782.39,60065.42,Nao,
1406,Paulo Almeida,97611500277,paulo.almeida@hotmail.com,(55) 90674-6819,Santa Maria,RS,loja,2025-07-16,1249.43,33143.51,Nao,
1159,ELISA SILVA,95897983483,elisa.silva@outlook.com,55988939482,Passo Fundo,RS,Telefone,2025-06-12,1132.32,10701.14,Nao,
1467,Fabio Ferreira,,fabio.ferreira@gmail.com,(51) 91651-6879,Poa,RS,Site,2025-03-20,10712.35,88597.84,Nao,
1358,Diego Oliveira,55673629466,diego.oliveira@hotmail.com,55 941706338 ramal 22,,RS,Whatsapp,2025-03-28,7642.53,37607.18,Sim,
1346,Olivia Oliveira,,olivia.oliveira@empresa.com.br,(54) 96867-0190,Santa Maria,RS,Site,2023-01-11,11507.43,8358.43,Sim,
1593,Joao Souza,05316932220,joao.souza@outlook.com,51938553570,Sta. Maria,RS,Telefone,2023-02-22,5877.32,72686.98,Nao,
1273,Paulo Costa,59262536287,paulo.costa@gmail.com,(51) 91647-2263,porto alegre,RS,Telefone,2022-09-05,7342.38,1883.13,Sim,
1002,NELSON SILVA,55979711471,nelson.silva@outlook.com,(11) 94650-7529,porto alegre,RS,Site,2021-08-19,4090.42,78427.98,Nao,
1202,Bruno Ferreira,24892844947,bruno.ferreira@hotmail.com,93929-3723,porto alegre,RS,Site,2024-02-11,7388.79,69679.51,Sim,
1082,MARINA PEREIRA,97530379022,marina.pereira@outlook.com,55 959989208 ramal 22,Passo Fundo,RS,Whatsapp,2025-11-19,9702.04,25342.52,Sim,
1521,FABIO ALMEIDA,28759582865,fabio.almeida@empresa.com.br,,Santo Angelo,RS,loja,2025-09-11,1994.99,44385.28,Nao,
1585,PAULO SANTOS,02358698371,paulo.santos@gmail.com,,Passo Fundo,RS,loja,2022-10-03,1418.36,89144.4,Nao,
1245,Renata Oliveira,12569085818,renata.oliveira@hotmail.com,(51) 97187-5519,Poa,RS,Whatsapp,2025-09-17,12203.88,77246.16,Nao,
1209,Nelson Oliveira,99850788205,nelson.oliveira@empresa.com.br,(51) 97017-1196,STO ANGELO,RS,Telefone,2023-05-24,13679.03,50278.86,Sim,
1038,Ana Almeida,57089319426,ana.almeida@hotmail.com,(51) 90571-7279,STO ANGELO,RS,Site,2021-08-01,14105.19,14921.19,Nao,
1409,GABRIELA COSTA,21456615944,gabriela.costa@gmail.com,96442-7931,Ijui,RS,Whatsapp,2021-09-17,7021.57,41602.04,Sim,
1010,Lucas Silva,,lucas.silva@gmail.com,55902426462,Passo Fundo,RS,Whatsapp,2022-10-24,1334.13,38278.53,Sim,
1504,Sergio Rodrigues,30686685354,sergio.rodrigues@gmail.com,,Santo Angelo,RS,loja,2023-07-13,8304.85,59181.37,Nao,
1032,Lucas Silva,24562418057,lucas.silva@gmail.com,95465-9255,Sta. Maria,RS,loja,2024-11-24,14390.71,46449.61,Nao,
1220,RENATA FERREIRA,38374999850,renata.ferreira@hotmail.com,(54) 92027-2084,porto alegre,RS,loja,2021-02-12,10441.82,12135.55,Nao,
1425,Diego Almeida,10767444591,diego.almeida@empresa.com.br,11996660651,Santa Maria,RS,Indicacao,2023-11-06,5471.45,62764.77,Nao,
1487,Fabio Silva,,fabio.silva@empresa.com.br,97548-1354,Passo Fundo,RS,Telefone,2023-12-17,11998.61,42354.21,Nao,
1333,KARINA ROCHA,58370167366,karina.rocha@gmail.com,(11) 92640-5925,Ijui,RS,loja,2023-05-06,3651.29,45464.46,Sim,
1025,ELISA MARTINS,75918362361,elisa.martins@empresa.com.br,(55) 92611-4913,Sta. Maria,RS,loja,2024-01-30,6544.19,60669.78,Nao,
1375,Sergio Ferreira,74461537186,sergio.ferreira@gmail.com,(51) 95688-9857,Poa,RS,loja,2022-11-06,11655.56,28936.37,Sim,
1217,Ana Almeida,75097290275,ana.almeida@empresa.com.br,95011-7086,Santo Angelo,RS,loja,2021-03-26,6147.15,47823.45,Nao,
1563,Elisa Oliveira,83064997741,elisa.oliveira@gmail.com,,,RS,Indicacao,2024-12-08,8291.92,60836.27,Sim,
1283,Sergio Pereira,,sergio.pereira@hotmail.com,55 991127298 ramal 22,Ijui,RS,loja,2024-01-04,,22971.23,Nao,
1414,OLIVIA ALMEIDA,16850054876,olivia.almeida@gmail.com,91300-3521,Passo Fundo,RS,Site,2021-11-11,10450.39,67411.38,Sim,
1187,Diego Silva,39657852614,diego.silva@outlook.com,54965743746,Ijui,RS,Whatsapp,2024-01-04,6938.16,44505.46,Nao,
1324,Nelson Rocha,33277381712,nelson.rocha@outlook.com,,Passo Fundo,RS,Indicacao,2023-05-07,13756.2,48520.75,Nao,
1089,Lucas Silva,24012024285,lucas.silva@hotmail.com,,Ijui,RS,loja,2024-11-23,,9438.15,Nao,
1065,Sergio Costa,88667509570,sergio.costa@hotmail.com,55986892367,STO ANGELO,RS,loja,2022-06-11,5816.54,27956.7,Sim,
1392,MARINA ROCHA,27970990347,marina.rocha@gmail.com,54904093864,STO ANGELO,RS,Telefone,2025-11-05,6501.34,9884.11,Sim,
1384,Heitor Santos,02811200909,heitor.santos@gmail.com,,Sta. Maria,RS,Telefone,2022-03-24,11551.73,48725.24,Sim,
1403,Nelson Ferreira,69622839011,nelson.ferreira@empresa.com.br,55920174452,Santo Angelo,RS,Whatsapp,2025-01-27,2526.87,33581.37,Sim,
1450,CARLA RODRIGUES,29286436152,carla.rodrigues@outlook.com,55948788553,Passo Fundo,RS,loja,2025-08-29,10261.3,13992.55,Sim,
1588,DIEGO OLIVEIRA,88281341887,diego.oliveira@empresa.com.br,51987720866,porto alegre,RS,loja,2024-02-25,3426.5,63190.43,Nao,
1193,Diego Costa,92264159214,diego.costa@empresa.com.br,(11) 94854-0353,Passo Fundo,RS,Site,2021-10-29,846.32,27806.26,Sim,
1240,JOAO SOUZA,96614172529,joao.souza@outlook.com,54932729411,Ijui,RS,loja,2022-08-24,7396.44,10527.65,Sim,
1371,Lucas Barbosa,35082847077,lucas.barbosa@gmail.com,(11) 99533-3782,STO ANGELO,RS,Whatsapp,2025-04-16,2455.82,66136.6,Nao,
1390,Tatiana Rocha,60479890753,tatiana.rocha@empresa.com.br,(11) 94027-1074,Poa,RS,Site,2022-06-25,8911.44,53946.35,Sim,
1040,Elisa Pereira,83449223598,elisa.pereira@hotmail.com,94121-3622,Ijui,RS,Site,2022-04-25,9750.72,18579.96,Sim,
1518,Isabel Silva,,,(54) 95072-8396,Santo Angelo,RS,Site,2021-04-04,6881.92,76997.52,Sim,
1248,PAULO OLIVEIRA,80231002340,paulo.oliveira@hotmail.com,98725-7178,porto alegre,RS,loja,2024-02-29,8692.26,15293.84,Nao,
1329,Tatiana Santos,58486086529,tatiana.santos@gmail.com,55 937011316 ramal 22,Ijui,RS,Indicacao,2021-04-19,3496.44,39031.62,Sim,
1172,Ana Santos,77033505668,ana.santos@outlook.com,,,RS,Whatsapp,2021-09-18,13585.19,45775.12,Nao,
1573,VINICIUS BARBOSA,19915015953,vinicius.barbosa@hotmail.com,95888-2883,Santa Maria,RS,Telefone,2021-03-06,10393.26,16657.13,Sim,
1407,Karina Barbosa,52688364111,karina.barbosa@outlook.com,(11) 99635-6308,Sta. Maria,RS,loja,2023-09-24,4162.86,5545.36,Sim,
1506,Heitor Costa,37784809427,heitor.costa@outlook.com,(11) 96527-3977,porto alegre,RS,Telefone,2022-02-12,8509.38,4146.25,Sim,
